time,commercial_kw,pv_ac_kw,pv_curtail_kw,chargers_requested_kw,chargers_controlled_kw,bess_charge_kw,bess_discharge_kw,soc_kwh,grid_draw_kw,violation_kw
2025-11-04 08:00:00,96.44819126142045,66.12455032522882,0.0,0.0,0.0,1.6902572739279903e-06,0.0,-1.8923786956089224e-07,30.3236426264489,0.0
2025-11-04 08:15:00,97.1503598500006,76.06946772496275,1.0337635512952094e-06,0.0,9.266344443949618e-07,2.8700183903268023e-06,0.0,6.909763973809762e-07,21.080896955454236,0.0
2025-11-04 08:30:00,106.83823568072404,86.01438512469669,3.3821027700893373e-06,0.0,3.7430722089604297e-06,4.554929884212513e-06,0.0,2.150495100003441e-06,20.82386223613223,0.0
2025-11-04 08:45:00,104.7714844887922,95.95930252443063,0.0,120.0,119.9999320491573,0.0,5.146158250874399e-06,4.444389214693631e-06,128.81210886736062,6.592894231861862e-06
2025-11-04 09:00:00,112.91039036323723,105.90421992416454,0.0,120.0,119.9999305010118,0.0,4.909359498596915e-06,1.93414004536979e-06,127.006096030725,6.851569298146561e-06
2025-11-04 09:15:00,109.79964960395748,109.42816494312339,0.0,120.0,119.99998775305751,3.080573275735462e-06,0.0,-4.6078085148459024e-07,120.37147549446487,0.0
2025-11-04 09:30:00,114.40927043648743,112.95210996208226,0.0,120.0,119.99998748043306,3.3009078776925224e-06,0.0,1.1500856230274685e-06,121.45715125574611,0.0
2025-11-04 09:45:00,120.84075384113154,116.47605498104114,0.0,120.0,119.99995136046311,0.0,9.915309306412157e-07,2.8753074576078817e-06,124.36464922902259,3.8539825491187294e-06
2025-11-04 10:00:00,123.35510878416684,120.0,0.0,120.0,119.99995202650659,0.0,2.4492925791150535e-07,2.390123101847053e-06,123.35506056574417,3.7075593894782965e-06
2025-11-04 10:15:00,121.5571291814344,120.0,0.0,120.0,119.99994436335707,0.0,7.310051922554339e-07,2.2687697288231374e-06,121.55707281378628,4.756441804138422e-06
2025-11-04 10:30:00,119.68828059027626,120.0,0.0,120.0,119.99990736475084,0.0,5.5897483905856644e-06,1.9103239376087965e-06,119.68818236527872,1.0075939217168658e-05
2025-11-04 10:45:00,117.37593095471524,120.0,0.0,120.0,119.99984777525097,0.0,1.4470131597663951e-05,-8.16868980972368e-07,117.37576425983463,1.872001214895822e-05
2025-11-04 11:00:00,111.57190558148143,120.0,8.428298364017804,0.0,0.0,0.0,1.6470104339458365e-05,-7.873201840538277e-06,0.00018747539489538667,0.0
2025-11-04 11:15:00,111.33534855357459,120.0,8.664533658899767,0.0,2.6491878322725007e-05,1.2885695855140681e-05,0.0,-1.5904069119290104e-05,-7.840995147034846e-05,3.0848747415105373e-06
2025-11-04 11:30:00,109.6460742374566,120.0,10.353691257557287,0.0,5.389659173809953e-05,2.28684290844026e-05,0.0,-9.59771093829308e-06,-0.00015773996528878342,9.627215475079834e-06
2025-11-04 11:45:00,112.04587253926842,120.0,1.0944876993636734e-05,60.0,60.00002803515511,4.4978003881716975e-06,0.0,1.5172951606705645e-06,52.04591601710088,0.0
2025-11-04 12:00:00,108.28860483048724,120.0,8.908878525911819e-06,60.0,60.00002253473688,4.355172228022422e-06,0.0,3.6857786532856978e-06,48.28864062927488,0.0
2025-11-04 12:15:00,101.04956998956295,120.0,6.530720710812623e-06,60.0,60.00001567551471,4.545250297704962e-06,0.0,5.806979448523644e-06,41.04959674104869,0.0
2025-11-04 12:30:00,107.17896362719372,120.0,0.0,120.0,119.99990841898733,0.0,9.547869439198061e-06,8.05589594838187e-06,107.17886249831162,1.0215868673839186e-05
